Household_ID,Family_Size,Monthly_Income,Is_GI_Beneficiary,Primary_Earner_Gender,Raw_Material_Access,Training_Access,Satisfaction_Score,Income_Per_Member,Income_Per_Adult,Economic_Vulnerability,High_Income_Low_Satisfaction,Income_Efficiency,Raw_Material_Score,Total_Resource_Score,Resource_Training_Balance,Resource_Adequate,Full_Resource_Access,Monthly_Income_Zscore,Family_Size_Zscore,Satisfaction_Score_Zscore,Income_Percentile,Satisfaction_Percentile,Income_Quartile,Income_Outlier_Low,Income_Outlier_High,Female_Earner,Male_Earner,GI_Training_Synergy,Female_Training_Access,Female_GI_Beneficiary,Large_Family_High_Income,Female_GI_Training,Income_Category,Family_Size_Category,Satisfaction_Level,High_Satisfaction,Large_Family,Above_Median_Income,Satisfaction_Efficiency,Resource_Utilization,Basic_Success_Index,Artisan_Success_Index,Performance_Category,Established_Artisan,Growth_Potential,High_Support_Need,Market_Readiness
1,9,4748.0,1,Male,Difficult,1,2,527.5555555555555,678.2857142857143,1,0,474.8,1,2,1,0,0,-1.9158215480903764,1.4465045708046391,-0.7520716951479297,0.028037383177570093,0.2857142857142857,Q1_Low,1,0,0,1,1,0,0,0,0,Low,Very_Large,Low,0,1,0,0.6666666666666666,1582.6666666666667,2,0.5,Average,0,0,0,0.7999999999999999
2,6,5766.0,1,Male,Easy,0,4,961.0,1441.5,1,0,823.7142857142857,3,3,0,1,0,-1.3964556450301893,-0.1136227155314823,0.635471432334297,0.09345794392523364,0.680672268907563,Q1_Low,1,0,0,1,0,0,0,0,0,Low,Medium,High,1,0,0,1.0,1441.5,2,0.45,Average,0,0,1,0.6
3,7,9772.0,1,Male,Moderate,1,3,1396.0,1954.4,0,1,1221.5,2,3,2,1,0,0.6473359145563626,0.40641971324722487,-0.05830013140681635,0.7383177570093458,0.47478991596638653,Q3_Medium_High,0,0,0,1,1,0,0,1,0,High,Large,Medium,0,1,1,0.75,2443.0,3,0.8,High_Performing,1,0,0,0.8999999999999999
4,9,,1,Male,Moderate,1,4,,,0,0,,2,3,2,1,0,,1.4465045708046391,0.635471432334297,,0.680672268907563,,0,0,0,1,1,0,0,0,0,,Very_Large,High,1,1,0,1.0,,3,0.7,Average,0,0,0,0.8999999999999999
5,5,9452.0,1,Female,Easy,0,1,1890.4,3150.6666666666665,0,1,1575.3333333333333,3,3,0,1,0,0.4840774774451054,-0.6336651443101895,-1.445843258889043,0.6728971962616822,0.10504201680672269,Q3_Medium_High,0,0,1,0,0,0,1,0,0,High,Medium,Very_Low,0,0,1,0.25,2363.0,2,0.55,Average,0,0,0,0.6
6,7,11107.0,0,Male,Moderate,0,4,1586.7142857142858,2221.4,0,0,1388.375,2,2,0,1,0,1.3284297068798891,0.40641971324722487,0.635471432334297,0.9345794392523364,0.680672268907563,Q4_High,0,1,0,1,0,0,0,1,0,Very_High,Large,High,1,1,1,1.3333333333333333,3702.3333333333335,2,0.5,Average,0,0,0,0.19999999999999998
7,7,8923.0,0,Male,Moderate,1,1,1274.7142857142858,1784.6,0,1,1115.375,2,3,2,1,0,0.21419087359555822,0.40641971324722487,-1.445843258889043,0.5794392523364486,0.10504201680672269,Q3_Medium_High,0,0,0,1,0,0,0,1,0,High,Large,Very_Low,0,1,1,0.25,2230.75,2,0.55,Average,0,0,0,0.6
8,9,9694.0,1,Female,Difficult,0,4,1077.111111111111,1384.857142857143,0,0,969.4,1,1,0,0,0,0.6075416705104937,1.4465045708046391,0.635471432334297,0.7102803738317757,0.680672268907563,Q3_Medium_High,0,0,1,0,0,0,1,1,0,High,Very_Large,High,1,1,1,2.0,4847.0,3,0.75,Average,0,0,0,0.39999999999999997
9,4,6707.0,1,Female,Difficult,0,1,1676.75,3353.5,0,0,1341.4,1,1,0,0,0,-0.9163738033998984,-1.1537075730888966,-1.445843258889043,0.18691588785046728,0.10504201680672269,Q1_Low,1,0,1,0,0,0,1,0,0,Medium,Small,Very_Low,0,0,0,0.5,3353.5,1,0.25,Underperforming,0,0,1,0.39999999999999997
10,5,,1,Male,Difficult,1,2,,,0,0,,1,2,1,0,0,,-0.6336651443101895,-0.7520716951479297,,0.2857142857142857,,0,0,0,1,1,0,0,0,0,,Medium,Low,0,0,0,0.6666666666666666,,2,0.5,Average,0,0,0,0.7999999999999999
11,9,11437.0,0,Male,Difficult,1,5,1270.7777777777778,1633.857142857143,0,0,1143.7,1,2,1,0,0,1.4967899701508731,1.4465045708046391,1.3292429960754104,0.9532710280373832,0.8907563025210085,Q4_High,0,1,0,1,0,0,0,1,0,Very_High,Very_Large,Very_High,1,1,1,1.6666666666666667,3812.3333333333335,3,0.75,Average,0,1,0,0.5
12,5,6252.0,1,Male,Moderate,0,3,1250.4,2084.0,0,0,1042.0,2,2,0,1,0,-1.1485068936674674,-0.6336651443101895,-0.05830013140681635,0.1308411214953271,0.47478991596638653,Q1_Low,1,0,0,1,0,0,0,0,0,Medium,Medium,Medium,0,0,0,1.0,2084.0,1,0.25,Underperforming,0,0,1,0.5
13,5,10400.0,1,Male,Easy,1,4,2080.0,3466.6666666666665,0,0,1733.3333333333333,3,4,3,1,1,0.9677305973872051,-0.6336651443101895,0.635471432334297,0.8598130841121495,0.680672268907563,Q4_High,0,1,0,1,1,0,0,0,0,Very_High,Medium,High,1,0,1,0.8,2080.0,4,1.0,High_Performing,1,0,0,1.0
14,7,,0,Female,Moderate,1,5,,,0,0,,2,3,2,1,0,,0.40641971324722487,1.3292429960754104,,0.8907563025210085,,0,0,1,0,0,1,0,0,0,,Large,Very_High,1,1,0,1.25,,2,0.45,Average,0,1,0,0.6
15,6,9415.0,1,Female,Moderate,0,3,1569.1666666666667,2353.75,0,1,1345.0,2,2,0,1,0,0.4652007206541163,-0.1136227155314823,-0.05830013140681635,0.6448598130841121,0.47478991596638653,Q3_Medium_High,0,0,1,0,0,0,1,1,0,High,Medium,Medium,0,0,1,1.0,3138.3333333333335,2,0.55,Average,0,0,0,0.5
16,5,5131.0,0,Male,Easy,1,3,1026.2,1710.3333333333333,0,0,855.1666666666666,3,4,3,1,1,-1.7204216061728406,-0.6336651443101895,-0.05830013140681635,0.04672897196261682,0.47478991596638653,Q1_Low,1,0,0,1,0,0,0,0,0,Low,Medium,Medium,0,0,0,0.6,1026.2,1,0.25,Underperforming,0,0,0,0.7
